Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand
X1E Quadruple Extra Large,x1e.4xlarge,488,16,480 GB SSD,10.0,3.336
C6I Quadruple Extra Large,c6i.4xlarge,32,16,EBS only,12.5,0.68
C6A Double Extra Large,c6a.2xlarge,16,8,EBS only,12.5,0.306
R7GD 12xlarge,r7gd.12xlarge,384,48,2850 GB (2×1425 GB NVMe SSD),22.5,3.2659
C5 High-CPU Extra Large,c5d.xlarge,8,4,100 GB NVMe SSD,10.0,0.192
M6GD Eight Extra Large,m6gd.8xlarge,128,32,1900 GB NVMe SSD,12.0,1.4464
TRN1 32xlarge,trn1.32xlarge,512,128,7600 GB (4×1900 GB NVMe SSD),8.0,21.5
X1 Extra High-Memory 32xlarge,x1.32xlarge,1952,128,3840 GB (2×1920 GB SSD),25.0,13.338
G4DN Extra Large,g4dn.xlarge,16,4,125 GB NVMe SSD,25.0,0.526
G3 Graphics GPU 16xlarge,g3.16xlarge,488,64,EBS only,20.0,4.56
C7A 48xlarge,c7a.48xlarge,384,192,EBS only,50.0,9.8534
M7I Double Extra Large,m7i.2xlarge,32,8,EBS only,12.5,0.4032
R5D Metal,r5d.metal,768,96,3600 GB (4×900 GB NVMe SSD),25.0,6.912
R8G 16xlarge,r8g.16xlarge,512,64,EBS only,30.0,3.7702
